Name,Value,Timestamp,Step
"wd_1",0.01,1613808994041,18
"sqr_mom_1",0.99,1613808994041,18
"lr_1",7.06418938445837e-06,1613808994041,18
"mom_1",0.9468081360578559,1613808994041,18
"eps_1",1e-05,1613808994041,18
"wd_2",0.01,1613808994041,18
"sqr_mom_2",0.99,1613808994041,18
"lr_2",7.06418938445837e-05,1613808994041,18
"mom_2",0.9468081360578559,1613808994041,18
"eps_2",1e-05,1613808994041,18
"train_loss",0.5009251,1613808994908,19
"raw_loss",0.34218967,1613808994908,19
"wd_0",0.01,1613808994908,19
"sqr_mom_0",0.99,1613808994908,19
"lr_0",7.409912069008094e-06,1613808994908,19
"mom_0",0.9464480082614498,1613808994908,19
"eps_0",1e-05,1613808994908,19
"wd_1",0.01,1613808994908,19
"sqr_mom_1",0.99,1613808994908,19
"lr_1",7.409912069008094e-06,1613808994908,19
"mom_1",0.9464480082614498,1613808994908,19
"eps_1",1e-05,1613808994908,19
"wd_2",0.01,1613808994908,19
"sqr_mom_2",0.99,1613808994908,19
"lr_2",7.409912069008095e-05,1613808994908,19
"mom_2",0.9464480082614498,1613808994908,19
"eps_2",1e-05,1613808994908,19
"train_loss",0.49531052,1613808995768,20
"raw_loss",0.40386418,1613808995768,20
"wd_0",0.01,1613808995768,20
"sqr_mom_0",0.99,1613808995768,20
"lr_0",7.773395834984238e-06,1613808995768,20
"mom_0",0.9460693793385581,1613808995768,20
"eps_0",1e-05,1613808995768,20
"wd_1",0.01,1613808995768,20
"sqr_mom_1",0.99,1613808995768,20
"lr_1",7.773395834984238e-06,1613808995768,20
"mom_1",0.9460693793385581,1613808995768,20
"eps_1",1e-05,1613808995768,20
"wd_2",0.01,1613808995768,20
"sqr_mom_2",0.99,1613808995768,20
"lr_2",7.773395834984238e-05,1613808995768,20
"mom_2",0.9460693793385581,1613808995768,20
"eps_2",1e-05,1613808995768,20
"train_loss",0.48246557,1613808996644,21
"raw_loss",0.26485312,1613808996644,21
"wd_0",0.01,1613808996644,21
"sqr_mom_0",0.99,1613808996644,21
"lr_0",8.154495508105691e-06,1613808996644,21
"mom_0",0.9456724005123899,1613808996644,21
"eps_0",1e-05,1613808996644,21
"wd_1",0.01,1613808996644,21
"sqr_mom_1",0.99,1613808996644,21
"lr_1",8.154495508105691e-06,1613808996644,21
"mom_1",0.9456724005123899,1613808996644,21
"eps_1",1e-05,1613808996644,21
"wd_2",0.01,1613808996644,21
"sqr_mom_2",0.99,1613808996644,21
"lr_2",8.154495508105693e-05,1613808996644,21
"mom_2",0.9456724005123899,1613808996644,21
"eps_2",1e-05,1613808996644,21
"train_loss",0.46997386,1613808997515,22
